rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_model_class,clean_provider_group,revenue_source_method,revenue_use_for_model_flag,gross_total_patient_revenue_model,net_patient_revenue_model,net_outpatient_exposure_base_model,net_outpatient_exposure_to_npr_ratio,net_outpatient_exposure_to_gross_ratio,revenue_present_but_not_model_flag,exposure_missing_or_zero_flag,low_exposure_ratio_flag,high_exposure_ratio_flag,uncompensated_care_cost_model,stabilization_tier,stabilization_eligible_bounded_flag
815067,453311,SHRINERS HOSPITAL FOR CHILDREN,GALVESTON,TX,Short-term acute/general hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
815528,123301,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,HI,Children's hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
815974,334066,ROCKLAND CHILDRENS PSYCHIATRIC CENT,ORANGEBURG,NY,Critical access hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
815975,334067,NEW YORK CITY CHILDRENS PSYCH CENTE,BELLEROSE,NY,Critical access hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
821655,373303,THE CHILDRENSS CENTER,BETHANY,OK,Short-term acute/general hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
827550,264028,HAWTHORN CHILDRENS PSYCH. CTR.,ST LOUIS,MO,Critical access hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
829242,053306,CHILDRENS HOSPITAL AT MISSION,ORANGE,CA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
830534,054149,WILLOW ROCK CENTER,SAN LEANDRO,CA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
830975,274004,MONTANA CHILDRENS HOME AND HOSPITAL,HELENA,MT,Children's hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
831643,054028,GATEWAYS HOSPITAL,LOS ANGELES,CA,Children's hospital,Children's / pediatric hospital,Children's / pediatric,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 2 - moderate transition support,TRUE
824911,051991,BROADVIEW INC.,LOS ANGELES,CA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,g2_total_only_no_outpatient_split,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
826771,670783,ST LUKES HEALTH MEMORIAL SAN AUGUST,SAN AUGUSTINE,TX,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,g2_total_only_no_outpatient_split,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
828030,174027,ST. VERONICA,BEL AIRE,KS,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,g2_total_only_no_outpatient_split,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
828635,182002,CONTINUING CARE HOSPITAL,LEXINGTON,KY,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,g2_total_only_no_outpatient_split,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
831712,190779,OUR LADY OF THE LAKE ASSUMPTION COM,NAPOLEONVILLE,LA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,g2_total_only_no_outpatient_split,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
811355,051990,SUNLAND HOME FOUNDATION,ENCINITAS,CA,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
813046,331990,HIGH RIDGE HOUSE,RIVERDALE,NY,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
822917,044013,BHC PINNACLE POINTE HOSPITAL LLC,LITTLE ROCK,AR,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
825832,280009,CHI HEALTH GOOD SAMARITAN,KEARNEY,NE,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,6314045,Tier 0 - not eligible,FALSE
825872,350002,ST ALEXIUS MEDICAL CENTER,BISMARCK,ND,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,5151979,Tier 0 - not eligible,FALSE
826044,351324,MERCY HOSPITAL OF VALLEY CITY,VALLEY CITY,ND,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,647150,Tier 0 - not eligible,FALSE
826219,351333,MERCY HOSPITAL,DEVILS LAKE,ND,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,3372898,Tier 0 - not eligible,FALSE
826220,351334,MERCY MEDICAL CENTER,WILLISTON,ND,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,11524675,Tier 0 - not eligible,FALSE
827712,280081,CHI HEALTH IMMANUEL,OMAHA,NE,Short-term acute/general hospital,Short-term acute/general hospital,General acute / academic,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,10429334,Tier 0 - not eligible,FALSE
814436,194118,MERCY BEHAVIORAL HOSPITAL,LECOMPTE,LA,Short-term acute/general hospital,Psychiatric / behavioral hospital,Specialty / behavioral / rehab,missing_or_unusable,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
824921,064001,CO MENTAL HEALTH INSTITUTE - PUEBLO,PUEBLO,CO,Critical access hospital,Psychiatric / behavioral hospital,Specialty / behavioral / rehab,nonstandard_fallback_failed_plausibility,FALSE,0,0,0,,,FALSE,FALSE,FALSE,FALSE,0,Tier 0 - not eligible,FALSE
