table_id,title,placement,input_path,output_png,rows_in_input,rows_in_image,created
Table 7A,Provider Impact 3×3 Scenario Matrix,Main paper,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_7A_Provider_Impact_3x3_Scenario_Matrix.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Table_7A_Provider_Impact_3_3_Scenario_Matrix.png,9,9,TRUE
Table 7B,Provider Impact by Provider Group,Main paper,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_7B_Provider_Impact_by_Group.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Table_7B_Provider_Impact_by_Provider_Group.png,4,4,TRUE
Table 7C,Provider Impact by Provider Class,Main paper,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_7C_Provider_Impact_by_Class.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Table_7C_Provider_Impact_by_Provider_Class.png,9,9,TRUE
Table 7D,Provider-Level Distribution,Main paper,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_7D_Provider_Level_Distribution.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Table_7D_Provider_Level_Distribution.png,35,35,TRUE
Table 7E,Model Coverage and Data Quality Audit,Main paper,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_7E_Model_Coverage_Data_Quality_Audit.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Table_7E_Model_Coverage_and_Data_Quality_Audit.png,19,19,TRUE
Table 7F,Exposure-Anomaly Sensitivity,Main paper,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_7F_Exposure_Anomaly_Sensitivity.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Table_7F_Exposure_Anomaly_Sensitivity.png,2,2,TRUE
Table 7G,Access-Protection Policy Options,Main paper,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_7G_Access_Protection_Policy_Options.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Table_7G_Access_Protection_Policy_Options.png,6,6,TRUE
Appendix Table 7G,Access-Protection Options Menu,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7G_Access_Protection_Options_Menu.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7G_Access_Protection_Options_Menu.png,9,9,TRUE
Appendix Table 7J,Provider-Level Transition and Rural Access Sensitivity,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7J_Provider_Level_Transition_Rural_Access.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7J_Provider_Level_Transition_and_Rural_Access_Sensitivity.png,886,60,TRUE
Appendix Table 7K,Enhanced Rural Access Sensitivity,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7K_Enhanced_Rural_Access_Sensitivity.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7K_Enhanced_Rural_Access_Sensitivity.png,7,7,TRUE
Appendix Table 7L,Rural Provider-Level Enhanced Access,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7L_Rural_Provider_Level_Enhanced_Access.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7L_Rural_Provider_Level_Enhanced_Access.png,68,60,TRUE
Appendix Table 7M,Psychiatric / Behavioral Provider Sensitivity,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7M_Behavioral_Psychiatric_Sensitivity.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7M_Psychiatric_Behavioral_Provider_Sensitivity.png,6,6,TRUE
Appendix Table 7N,Psychiatric / Behavioral Provider-Level Review,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7N_Behavioral_Psychiatric_Provider_Level.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7N_Psychiatric_Behavioral_Provider_Level_Review.png,93,60,TRUE
Appendix Table 7O,Behavioral Remaining Severe Effects,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7O_Behavioral_Remaining_Severe_Effects.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7O_Behavioral_Remaining_Severe_Effects.png,6,6,TRUE
Appendix Table 7P,Behavioral Review Universe,Appendix,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Appendix_Table_7P_Behavioral_Review_Universe.csv,C:/Users/Bennett/OneDrive/Desktop/Buisnesses/Political letters/Universal Catastraphic Coverage/Output/Table7_Publication/Final_Publication_Grade/Table_Images/Appendix_Table_7P_Behavioral_Review_Universe.png,105,60,TRUE
