rpt_rec_num,prvdr_num_chr,provider_name,city,state_abbrev,raw_provider_model_class,clean_provider_group,clean_provider_model_class,behavioral_primary_flag,behavioral_name_review_flag,revenue_source_method,net_patient_revenue_model,outpatient_exposure_used,outpatient_repricing_pressure,uncompensated_care_offset,stabilization_support,net_provider_impact,net_provider_impact_pct_of_npr,stabilization_tier,stabilization_basis
825285,394016,WARREN STATE HOSPITAL,WARREN,PA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,66263978,6626397.8,-662639.78,0,0,-662639.78,-0.01,Tier 0 - not eligible,none
825657,394014,WERNERSVILLE STATE HOSPITAL,WERNERSVILLE,PA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,88056772,8805677.2,-880567.72,0,0,-880567.72,-0.01,Tier 0 - not eligible,none
825767,144037,ELGIN MENTAL HEALTH CENTER,ELGIN,IL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,91230572,9123057.2,-912305.72,0,0,-912305.72,-0.01,Tier 0 - not eligible,none
825768,144038,CHOATE MENTAL HEALTH CENTER,ANNA,IL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,57942631,5794263.1,-579426.31,0,0,-579426.31,-0.01,Tier 0 - not eligible,none
826330,194008,EAST LA STATE MENTAL HEALTH SYSTEM,JACKSON,LA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,199676804,19967680.4,-1996768.04,0,0,-1996768.04,-0.01,Tier 0 - not eligible,none
826388,394012,CLARKS SUMMIT STATE HOSPITAL,CLARKS SUMMIT,PA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,60008271,6000827.1,-600082.71,0,0,-600082.71,-0.01,Tier 0 - not eligible,none
827857,144021,PACKARD MENTAL HEALTH CENTER,SPRINGFIELD,IL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,35458401,3545840.1,-354584.01,0,0,-354584.01,-0.01,Tier 0 - not eligible,none
827858,144028,JOHN J MADDEN MENTAL HEALTH CENTER,HINES,IL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,30410276,3041027.6,-304102.76,0,0,-304102.76,-0.01,Tier 0 - not eligible,none
827863,224040,DR. SOLOMON CARTER FULLER MENTAL HL,BOSTON,MA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,28099070,2809907,-280990.7,0,0,-280990.7,-0.01,Tier 0 - not eligible,none
827941,224032,WORCESTER RECOVERY CENTER AND HOSP,WORCESTER,MA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,129055924,12905592.4,-1290559.24,0,0,-1290559.24,-0.01,Tier 0 - not eligible,none
827992,244011,ANNANDALE BEHAVIORAL HEALTH HSP,ST. PAUL,MN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,9708041,970804.1,-97080.41,0,0,-97080.41,-0.01,Tier 0 - not eligible,none
828033,194025,CENTRAL LA. STATE HOSPITAL,PINEVILLE,LA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,49554770,4955477,-495547.7,0,0,-495547.7,-0.01,Tier 0 - not eligible,none
828036,224028,CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,12179372,1217937.2,-121793.72,0,0,-121793.72,-0.01,Tier 0 - not eligible,none
828059,444008,WESTERN MENTAL HLTH INSTIT.,BOLIVAR,TN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,52387172,5238717.2,-523871.72,0,0,-523871.72,-0.01,Tier 0 - not eligible,none
828092,204004,DOROTHEA DIX PSYCHIATRIC CENTER,BANGOR,ME,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,41130859,4113085.9,-411308.59,0,0,-411308.59,-0.01,Tier 0 - not eligible,none
828093,204008,RIVERVIEW PSYCHIATRIC HOSPITAL,AUGUSTA,ME,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,53020924,5302092.4,-530209.24,0,0,-530209.24,-0.01,Tier 0 - not eligible,none
828120,444001,MEMPHIS MENTAL HLTH INSTITUTE,MEMPHIS,TN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,26538640,2653864,-265386.4,0,0,-265386.4,-0.01,Tier 0 - not eligible,none
828121,444002,MOCCASIN BEND MENTAL HLTH INSTITUTE,CHATTANOOGA,TN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,56349105,5634910.5,-563491.05,0,0,-563491.05,-0.01,Tier 0 - not eligible,none
828122,444014,MIDDLE TENN MENTAL HLTH INSTITUTE,NASHVILLE,TN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,70984501,7098450.1,-709845.01,0,0,-709845.01,-0.01,Tier 0 - not eligible,none
828137,74012,SOUTHWEST CT MENTAL HEALTH SYSTEM,BRIDGEPORT,CT,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,54989000,5498900,-549890,0,0,-549890,-0.01,Tier 0 - not eligible,none
828190,164002,MENTAL HEALTH INSTITUTE,CHEROKEE,IA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,22503569,2250356.9,-225035.69,0,0,-225035.69,-0.01,Tier 0 - not eligible,none
828223,474004,VERMONT PSYCHIATRIC CARE HOSPITAL,BERLIN,VT,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,36921486,3692148.6,-369214.86,0,0,-369214.86,-0.01,Tier 0 - not eligible,none
828340,334009,NEW YORK P.I.,NEW YORK,NY,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,FALSE,nonstandard_g200000_l04300_fallback,88545177,8854517.7,-885451.77,0,0,-885451.77,-0.01,Tier 0 - not eligible,none
828380,144010,CHICAGO READ MENTAL HEALTH CENTER,CHICAGO,IL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,45439339,4543933.9,-454393.39,0,0,-454393.39,-0.01,Tier 0 - not eligible,none
828381,144016,ALTON MENTAL HEALTH CENTER,ALTON,IL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,32019135,3201913.5,-320191.35,0,0,-320191.35,-0.01,Tier 0 - not eligible,none
828427,54122,NAPA STATE HOSPITAL,NAPA,CA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,436212843,43621284.3,-4362128.43,0,0,-4362128.43,-0.01,Tier 0 - not eligible,none
828577,334060,KIRBY FORENSIC P.C.,NEW YORK,NY,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,77054757,7705475.7,-770547.57,0,0,-770547.57,-0.01,Tier 0 - not eligible,none
828994,164003,MENTAL HEALTH INSTITUTE,INDEPENDENCE,IA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,26533040,2653304,-265330.4,0,0,-265330.4,-0.01,Tier 0 - not eligible,none
829151,34021,ARIZONA STATE HOSPITAL,PHOENIX,AZ,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,76858503,7685850.3,-768585.03,0,0,-768585.03,-0.01,Tier 0 - not eligible,none
829159,54133,METROPOLITAN STATE HOSPITAL,NORWALK,CA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,349160828,34916082.8,-3491608.28,0,0,-3491608.28,-0.01,Tier 0 - not eligible,none
829326,244013,FERGUS FALLS CBHH,ST. PAUL,MN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,FALSE,nonstandard_g200000_l04300_fallback,9117304,911730.4,-91173.04,0,0,-91173.04,-0.01,Tier 0 - not eligible,none
829327,244017,CBHH- ROCHESTER,ST. PAUL,MN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,FALSE,nonstandard_g200000_l04300_fallback,9389045,938904.5,-93890.45,0,0,-93890.45,-0.01,Tier 0 - not eligible,none
829432,74011,CONNECTICUT MENTAL HEALTH CENTER,NEW HAVEN,CT,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,48013376,4801337.6,-480133.76,0,0,-480133.76,-0.01,Tier 0 - not eligible,none
820803,464001,UTAH STATE HOSPITAL,PROVO,UT,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,nonstandard_g200000_l04300_fallback,104729755,10472975.5,-1047297.55,9593.25,52364.8775,-985339.4225,-0.00940839995758608,Tier 1 - monitoring / low support,UC burden safety-net trigger
824468,54123,ST. JOSEPHS BEHAVIORAL HLTH CENTER,STOCKTON,CA,Short-term acute/general hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,20448782,1807657.71280744,-180765.771280744,0,0,-180765.771280744,-0.00883992852389661,Tier 0 - not eligible,none
815721,194007,NORTHLAKE BEHAVIORAL HEALTH SYSTEM,MANDEVILLE,LA,Children's hospital,Children's / pediatric,Children's / pediatric hospital,FALSE,TRUE,standard_g2_l028_split,22320792,2036338.23195991,-203633.823195991,0,20363.3823195991,-183270.440876392,-0.00821074990871257,Tier 2 - moderate transition support,class-based transition protection
828216,374026,TULSA CENTER FOR BEHAVIORAL HEALTH,TULSA,OK,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,2111845,24311.8585356922,-2431.18585356922,0,0,-2431.18585356922,-0.00115121415329687,Tier 0 - not eligible,none
824943,134010,STATE HOSPITAL SOUTH,BLACKFOOT,ID,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,29832267,262987.647289329,-26298.7647289329,0,0,-26298.7647289329,-0.000881554349487851,Tier 0 - not eligible,none
831462,50546,PORTERVILLE DEVELOPMENTAL CENTER,PORTERVILLE,CA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,183780886,5e+05,-50000,0,0,-50000,-0.000272063113244541,Tier 0 - not eligible,none
828638,184002,WESTERN STATE HOSPITAL,HOPKINSVILLE,KY,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,11510405,9052.71893767723,-905.271893767723,0,0,-905.271893767723,-7.86481356448989e-05,Tier 0 - not eligible,none
795740,14012,MARY S HARPER GERIATRIC PSYCH CEN,TUSCALOOSA,AL,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,25996074,18395,-1839.5,0,0,-1839.5,-7.07606848634144e-05,Tier 0 - not eligible,none
828496,264010,ST. LOUIS FORENSIC TREATMENT CENTER,ST.LOUIS,MO,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,47022420,7057.70173012242,-705.770173012242,0,0,-705.770173012242,-1.50092269392397e-05,Tier 0 - not eligible,none
825471,504004,EASTERN STATE HOSPITAL,MEDICAL LAKE,WA,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,185190109,24541.4490618388,-2454.14490618388,0,0,-2454.14490618388,-1.32520301404644e-05,Tier 0 - not eligible,none
828053,424011,HARRIS PSYCHIATRIC HOSPITAL,COLUMBIA,SC,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,25128154,2898.19903792059,-289.819903792059,0,0,-289.819903792059,-1.15336727000344e-05,Tier 0 - not eligible,none
827799,44011,ARKANSAS STATE HOSPITAL,LITTLE ROCK,AR,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,95358336,8051,-805.1,0,0,-805.1,-8.44289061419864e-06,Tier 0 - not eligible,none
828550,154019,MADISON STATE HOSPITAL,MADISON,IN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,7591123,481.091118525001,-48.1091118525001,0,0,-48.1091118525001,-6.33754872006422e-06,Tier 0 - not eligible,none
828492,264004,FULTON STATE HOSPITAL,FULTON,MO,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,81144868,3929.4641223762,-392.94641223762,0,0,-392.94641223762,-4.84252944052629e-06,Tier 0 - not eligible,none
828484,154056,EVANSVILLE STATE HOSPITAL,EVANSVILLE,IN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,7187068,314.50946706549,-31.450946706549,0,0,-31.450946706549,-4.37604690905235e-06,Tier 0 - not eligible,none
828435,154018,RICHMOND STATE HOSPITAL,RICHMOND,IN,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,4040835,154.400020884019,-15.4400020884019,0,0,-15.4400020884019,-3.82099296021785e-06,Tier 0 - not eligible,none
829552,454009,RUSK STATE HOSPITAL,RUSK,TX,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,77821768,2924,-292.4,0,0,-292.4,-3.75730348351891e-06,Tier 0 - not eligible,none
828052,424005,BRYAN PSYCHIATRIC HOSPITAL,COLUMBIA,SC,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,52896746,1292.55834108039,-129.255834108039,0,0,-129.255834108039,-2.44354981888751e-06,Tier 0 - not eligible,none
829688,454084,AUSTIN STATE HOSPITAL,AUSTIN,TX,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,52391016,914,-91.4,0,0,-91.4,-1.74457391702425e-06,Tier 0 - not eligible,none
829635,454011,SAN ANTONIO STATE HOSPITAL,SAN ANTONIO,TX,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,77653199,696,-69.6,0,0,-69.6,-8.96292759297656e-07,Tier 0 - not eligible,none
829686,454000,BIG SPRING STATE HOSPITAL,BIG SPRINGS,TX,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,50753550,440,-44,0,0,-44,-8.66934431187572e-07,Tier 0 - not eligible,none
829633,454006,TERRELL STATE HOSPITAL,TERRELL,TX,Critical access hospital,Specialty / behavioral / rehab,Psychiatric / behavioral hospital,TRUE,TRUE,standard_g2_l028_split,57724926,205,-20.5,0,0,-20.5,-3.55132547073339e-07,Tier 0 - not eligible,none
